"Position","Product Number","Product","Quantity","Percent of Quantity","Sale Amount","Percent of Sale Amount","Cost","Percent of Gross Profit"
1,"","SMIRNOFF nip",431,6,5603,4,702.1,87
2,"","Great Northern 3.5 PINT",303,4,3636,3,954,74
3,"","Carlton Dry PINT",287,4,3731,3,1081.29,71
4,"","HARD RATED Can",282,4,3384,2,1110.52,67
5,"","SWAN Draft PINT",277,4,3601,3,936.79,74
6,"","J/DANIELS & Cola Can",183,3,2562,2,899.81,65
7,"","HARD RATED PINT",160,2,2400,2,936.32,61
8,"","SMIRNOFF CRUSH Mango & Peach Can",146,2,2044,1,675.25,67
9,"","HAHN PINT",146,2,1752,1,713.79,59
10,"","SMIRNOFF + MOTHER",136,2,1904,1,221.54,88
11,"","150 Lashes PINT",133,2,1862,1,547.26,71
12,"","HAHN 3.5 PINT",130,2,1430,1,388.79,73
13,"","KRAKEN RUM nip",121,2,1573,1,299.23,81
14,"","STONE & WOOD Pacific PINT",120,2,1680,1,672.84,60
15,"","J/DANIELS & Cola Stubby",119,2,1666,1,628.08,62
16,"","BUNDY UP & Cola 4.6% Can",119,2,1428,1,489.33,66
17,"","EMU EXPORT C30",118,2,7640.82,6,226.98,97
18,"","Heineken PINT",98,1,1323,1,428.99,68
19,"","POSTMIX Pint",92,1,460,0,0,100
20,"","CAN CLUB & Dry 4.8% Stubby",91,1,1183,1,0,100
21,"","GORDONS Pink Gin Can",88,1,1232,1,329.91,73
22,"","XXXX Gold PINT",88,1,968,1,235.75,76
23,"","EMU EXPORT Can",82,1,738,1,157.74,79
24,"","J/SQUIRE Ginger Beer PINT",80,1,1200,1,388.28,68
25,"","CORONA Stubby",72,1,792,1,422.06,47
26,"","KIRIN Hyoketsu 4% Pint",71,1,994,1,320.92,68
27,"","TEQUILA SUNRISE",64,1,960,1,104.26,89
28,"","J/DANIELS nip",62,1,806,1,128.77,84
29,"","GREAT NORTHERN 3.5 Can",53,1,530,0,116.39,78
30,"","J/DANIELS Double & cola Can",46,1,828,1,283.5,66
31,"","CAPT MORGAN Spiced Gold nip",46,1,552,0,84.13,85
32,"","LLB Pint",46,1,276,0,0,100
33,"","CORONA S12",44,1,1467.94,1,2530.59,-72
34,"","COKE 2L",44,1,395.56,0,172.49,56
35,"","HARD RATED ZERO Lemon Lime Can",44,1,528,0,173.27,67
36,"","LEMON, LIME & BITTERS",42,1,0,0,0,0
37,"","GREAT NORTHERN Original Stubby",41,1,410,0,105.62,74
38,"","GOOD TIDES Raspberry Can",39,1,507,0,165.44,67
39,"","BEACH DAYS SSB S1",38,1,333.75,0,121.42,64
40,"","GREAT NORTHERN 3.5 C30",36,1,2663.64,2,79.06,97
41,"","WILD TURKEY nip",35,0,490,0,81.73,83
42,"","MALIBU nip",32,0,384,0,41.79,89
43,"","JAGERMEISTER nip",31,0,372,0,63.21,83
44,"","GOOD TIDES Lime Can",31,0,403,0,131.5,67
45,"","HEINEKEN 0.0 STUBBY",30,0,210,0,57.12,73
46,"","EL JIMADOR Blanco nip",29,0,377,0,61,84
47,"","CARLTON DRY Stubby",29,0,240.98,0,66.82,72
48,"","J/DANIELS & Cola Zero Can",28,0,392,0,137.68,65
49,"","JIM BEAM & Cola 4.8% Can",27,0,324,0,107.65,67
50,"","JIM BEAM 1L",25,0,1969.75,1,1746.43,11
51,"","JIM BEAM 700ML",24,0,1103.76,1,1038.69,6
52,"","SOMERSBY Cider Pear Stubby",24,0,240,0,65.64,73
53,"","WHITE CLAW Mango 4.5% Can",23,0,345,0,88.55,74
54,"","J/DANIELS 1L",22,0,1807.78,1,1394.27,23
55,"","COKE 1.25L",22,0,143,0,57.94,59
56,"","WHITE CLAW Lime 4.5% Can",22,0,330,0,89.21,73
57,"","CAPT MORGAN & Cola 6% Can",22,0,308,0,106.66,65
58,"","MATSOS Ginger Beer Stubby",22,0,264,0,72.23,73
59,"","JAMESON IRISH WHISKY nip",21,0,273,0,51.62,81
60,"","CAN CLUB & Dry 4.8% Can",21,0,273,0,83.83,69
61,"","SUNTORY 196 Lemon 6% Can",20,0,260,0,93.38,64
62,"","XXXX GOLD C30",20,0,1449.8,1,37.48,97
63,"","CARLTON DRY S24",20,0,1303.8,1,46.08,96
64,"","J/DANIELS & Cola 4.8% C10",19,0,1234.81,1,844.19,32
65,"","BUNDY Up nip",19,0,228,0,34.75,85
66,"","YELLOWTAIL SSB 187ml S1",19,0,228,0,52.04,77
67,"","MAKERS MARK nip",19,0,266,0,44.65,83
68,"","J/DANIELS & Cola 4.8% C24",19,0,2621.81,2,93.42,96
69,"","GREAT NORTHERN 3.5 C6",18,0,395.82,0,237.17,40
70,"","CARLTON DRY C6",18,0,431.82,0,255.42,41
71,"","YELLOWTAIL Cab Sauv 187ml S1",17,0,204,0,47.46,77
72,"","GREY GOOSE nip",17,0,255,0,47.36,81
73,"","JAGERBOMB",17,0,238,0,27.69,88
74,"","GREAT NORTHERN Original CAN",17,0,170,0,38.96,77
75,"","JIM BEAM & Cola 4.8% Zero Can",16,0,192,0,63.79,67
76,"","JOSE CUERVO Silver nip",16,0,208,0,38.42,82
77,"","GORDONS Gin nip",16,0,192,0,38.91,80
78,"","SMIRNOFF Red 1L",16,0,1023.84,1,878.82,14
79,"","JIM BEAM nip",15,0,195,0,27.26,86
80,"","CARLTON DRY S6",15,0,344.85,0,207.36,40
81,"","HAHN 3.5 C30",15,0,1009.85,1,29.34,97
82,"","SOMERSBY Cider Apple Stubby",15,0,150,0,41.03,73
83,"","GREAT NORTHERN 3.5 Stubby",15,0,120,0,37.97,68
84,"","GUINNESS Can",14,0,168,0,48.85,71
85,"","GALLIANO Black Sambuca Nip",14,0,168,0,31.01,82
86,"","GREAT NORTHERN Original C30",14,0,1030.86,1,32.09,97
87,"","Great Northern 3.5 JUG",14,0,336,0,131.47,61
88,"","SWAN Draft MIDDY",13,0,91,0,21.99,76
