ProductID,ProductNo,ProductName,Barcode,SKU,Unit,DefaultSize,SellPriceIncTax,SellTaxCode,CostPriceIncTax,CostTaxCode,IsModifier,PrintDocket,Tags,CategoryNames,SellAccount,BuyAccount,InventoryAccount,ImageUrl,ReportingGroup,FriendlyName,ShowOnline,OnlineDescription,InventoryType,PurchaseFormat,PurchaseQty,Container,VariableQtyPrompt
20749052,,"1 BOTTLE paper bags BMART 2000PK",,,unit,1,0,GST,70.5100,GST,0,1,,,,,,,beverages,,1,,1,Individual,1,UNIT,
19462259,,"150 LASHES KEG",9990000999991,,l,49.5,0,GST,465.7730,GST,0,1,"beverages,kegs,LION","BEER Kegs",,1,1,,beverages,,1,,1,Individual,1,KEG,
19462287,,"150 Lashes JUG",,,ml,1700,28,GST,15.9960,GST,0,1,"beverages,jug,LION,tap","Beer on Tap",1,,,,beverages,,1,,2,Individual,1,UNIT,
19462288,,"150 Lashes MIDDY",,,ml,285,7,GST,2.6820,GST,0,1,"beverages,LION,middy,tap","Beer on Tap",1,,,,beverages,,1,,2,Individual,1,UNIT,
19462289,,"150 Lashes PINT",,,ml,570,14,GST,5.3630,GST,0,1,"beverages,LION,pint,tap","Beer on Tap",1,,,,beverages,,1,,2,Individual,1,UNIT,
19462291,,"150 Lashes SCHOONER",,,ml,425,12,GST,3.9990,GST,0,1,"beverages,LION,schooner,tap","Beer on Tap",1,,,,beverages,,1,,2,Individual,1,UNIT,
19398631,,"19 CRIMES Cab Sauv S1",9311220004633,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398632,,"19 CRIMES Hard Chard S1",9311220005869,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,white,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398633,,"19 CRIMES Malbec S1",9311220007382,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19742959,,"12oz/16oz Lid (x1000)",,,unit,1,15,GST,0.1000,GST,0,1,"Coffeeshop,Packaging",Packaging,1,1,,,packaging,,1,,1,Individual,1,UNIT,
19398644,,"5 SEEDS Cloudy S1",9311890247965,,unit,1,5.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ind",1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
19398634,,"19 CRIMES Pinot Noir S1",9311220006040,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398635,,"19 CRIMES Red Blend S1",9311220004657,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398636,,"19 CRIMES Sangiovese S1",9311220007894,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398637,,"19 CRIMES Shiraz S1",9311220005005,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398638,,"19 CRIMES Snoop Cali Gold Sparkling S1",9311220010047,,ml,750,19.99,GST,15.7600,GST,0,1,"ALM,beverages,sparkling,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398639,,"19 CRIMES Snoop Cali Red S1",9311220007931,,ml,750,19.99,GST,15.7600,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398640,,"19 CRIMES Snoop Cali Rose S1",9311220008983,,ml,750,19.99,GST,15.7600,GST,0,1,"ALM,beverages,rose,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398641,,"19 CRIMES Tempranillo S1",9311220007917,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19398642,,"19 CRIMES Uprising Red S1",9311220005647,,ml,750,15.99,GST,10.0400,GST,0,1,"ALM,beverages,red,wines","Package WINES",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
19469576,,"5 SEEDS Cloudy Stubby",,,unit,1,9,GST,2.3130,GST,0,1,"ALM,beverages,cider","Cider Pack",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19469574,,"5 SEEDS Crisp Stubby",,,unit,1,9,GST,2.3130,GST,0,1,"ALM,beverages,cider","Cider Pack",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19430835,,"5 SEEDS Cloudy S24",9311890247989,,unit,1,69.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ctn",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19430836,,"5 SEEDS Crisp S24",9311890247781,,unit,1,69.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ctn",1,,1,,beverages,,1,,,Individual,1,BOTTLE,
19398647,,"5 SEEDS Low Sugar S24",9311890249396,,unit,1,68.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ctn",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19398645,,"5 SEEDS Crisp S1",9311890247767,,unit,1,5.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ind",1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
19398646,,"5 SEEDS Low Sugar S1",9311890249372,,unit,1,5.99,GST,2.3130,GST,0,1,"beverages,cider,LION","Package CIDER Ind",1,1,1,,beverages,,1,,1,Cartons,24,BOTTLE,
19430866,,"5 SEEDS Cloudy S6",9311890247972,,unit,1,22.99,GST,13.8780,GST,0,1,"beverages,cider,LION","Package CIDER Pk",1,,1,,beverages,,1,,,,,BOTTLE,
19430867,,"5 SEEDS Crisp S6",9311890247774,,unit,1,22.99,GST,13.8780,GST,0,1,"beverages,cider,LION","Package CIDER Pk",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19430868,,"5 SEEDS Low Sugar S6",9311890249389,,unit,1,22.99,GST,13.8780,GST,0,1,"beverages,cider,LION","Package CIDER Pk",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19469575,,"5 SEEDS Low Sugar Stubby",,,unit,1,9,GST,2.3130,GST,0,1,"ALM,beverages,cider","Cider Pack",1,,1,,beverages,,1,,2,Individual,1,BOTTLE,
19398654,,"ABERLOUR 12YO Scotch 700ML",3047100056251,,ml,700,118,GST,93.2830,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,3,BOTTLE,
19398655,,"ABSOLUT 1L",7312040017034,,ml,1000,82.99,GST,69.2750,GST,0,1,"ALM,beverages,spirits","Package SPIRITS",1,1,1,,beverages,,1,,1,Cartons,6,BOTTLE,
